Token_Entropy,Acc
0.3482198417,0.3269230769230769
0.3461000025,0.34615384615384615
0.3425585628,0.33653846153846156
0.3441879749,0.23076923076923078
0.341853708,0.25961538461538464
0.3526120782,0.3076923076923077
0.3509217799,0.3076923076923077
0.3465721309,0.3076923076923077
0.3434488773,0.2403846153846154
0.3530642688,0.3173076923076923
0.3395829201,0.33653846153846156
0.3506772518,0.2980769230769231
0.3495741487,0.25
0.3444492817,0.33653846153846156
0.3450793922,0.3173076923076923
0.3454468846,0.3076923076923077
0.3624350429,0.3076923076923077
0.3384974003,0.22115384615384615
0.3560623229,0.22115384615384615
0.3520372808,0.27884615384615385
