Token_Entropy,Sentence_Entropy,Acc
0.3482198417,0.0646671429,0.3269230769230769
0.3461000025,0.0698383525,0.34615384615384615
0.3425585628,0.0679840371,0.33653846153846156
0.3441879749,0.0640763193,0.23076923076923078
0.341853708,0.0650168061,0.25961538461538464
0.3526120782,0.0615726635,0.3076923076923077
0.3509217799,0.0728029683,0.3076923076923077
0.3465721309,0.0713182762,0.3076923076923077
0.3434488773,0.0672266185,0.2403846153846154
0.3530642688,0.075630337,0.3173076923076923
0.3395829201,0.0673742592,0.33653846153846156
0.3506772518,0.0663877949,0.2980769230769231
0.3495741487,0.0706515014,0.25
0.3444492817,0.0696716681,0.33653846153846156
0.3450793922,0.0699929744,0.3173076923076923
0.3454468846,0.0692689717,0.3076923076923077
0.3624350429,0.0661630258,0.3076923076923077
0.3384974003,0.0637751818,0.22115384615384615
0.3560623229,0.0716432557,0.22115384615384615
0.3520372808,0.0719142705,0.27884615384615385
